method,generation,evaluations,best_so_far_mean,best_so_far_sd,unique_fraction_mean,unique_fraction_sd,mean_modules_mean,mean_modules_sd
ea_k2,59,3000,13.161672056535147,0.34457884193382066,0.988,0.017888543819998333,11.084,0.593194740367782
ea_k2,60,3050,13.151079039998457,0.3429654645561433,0.996,0.008944271909999166,11.172,0.7334302966199305
ea_k2,61,3100,13.040452247980618,0.3940393848123614,0.98,0.014142135623730963,11.024000000000001,0.6947517542259248
ea_k2,62,3150,12.981742889901497,0.39144040590881934,0.996,0.008944271909999166,10.968,0.634602237626058
ea_k2,63,3200,12.981742889901497,0.39144040590881934,0.996,0.008944271909999166,11.012,0.4794997393117124
ea_k2,64,3250,12.981742889901497,0.39144040590881934,0.984,0.008944271909999166,10.708,0.6184820126729638
ea_k2,65,3300,12.981742889901497,0.39144040590881934,0.984,0.016733200530681527,10.895999999999999,0.7698571296026299
ea_k2,66,3350,12.981742889901497,0.39144040590881934,0.996,0.008944271909999166,11.248000000000001,0.48199585060454636
ea_k2,67,3400,12.981742889901497,0.39144040590881934,0.976,0.035777087639996624,11.256,0.39884834210511655
ea_k2,68,3450,12.981742889901497,0.39144040590881934,0.992,0.010954451150103331,11.427999999999999,0.6887089370699353
ea_k2,69,3500,12.981742889901497,0.39144040590881934,0.992,0.010954451150103331,11.056000000000001,0.6424017434596515
ea_k2,70,3550,12.981742889901497,0.39144040590881934,0.992,0.010954451150103331,10.94,0.8885943956609224
ea_k2,71,3600,12.910359811429798,0.25306599200921004,0.988,0.017888543819998333,10.812,1.3250358485716531
ea_k2,72,3650,12.883285285033924,0.2882537965468496,0.996,0.008944271909999166,10.876,0.8905503916118389
ea_k2,73,3700,12.883285285033924,0.2882537965468496,0.988,0.010954451150103331,11.348,0.9988593494581703
ea_k2,74,3750,12.883285285033924,0.2882537965468496,0.992,0.010954451150103331,11.372,1.1061283831454647
ea_k2,75,3800,12.883285285033924,0.2882537965468496,0.992,0.010954451150103331,11.556000000000001,1.1974472848522397
ea_k2,76,3850,12.883285285033924,0.2882537965468496,0.992,0.010954451150103331,11.576,0.7369396176078474
ea_k2,77,3900,12.883285285033924,0.2882537965468496,0.988,0.010954451150103331,11.648,0.9907169121398904
ea_k2,78,3950,12.883285285033924,0.2882537965468496,0.992,0.010954451150103331,11.684,0.6911439792112786
ea_k2,79,4000,12.883285285033924,0.2882537965468496,0.996,0.008944271909999166,11.888,0.8412609583238723
ea_k2,80,4050,12.828618271341325,0.3231173506113333,0.984,0.016733200530681527,11.88,0.6832276341015489
ea_k2,81,4100,12.828618271341325,0.3231173506113333,0.988,0.010954451150103331,11.808,0.872077978164797
ea_k2,82,4150,12.828618271341325,0.3231173506113333,0.988,0.010954451150103331,11.516,0.7355814027012911
ea_k2,83,4200,12.828618271341325,0.3231173506113333,0.988,0.0268328157299975,11.696,0.8320336531655438
ea_k2,84,4250,12.805636663293036,0.32279254682663555,0.984,0.016733200530681527,11.268,0.9279655166006977
ea_k2,85,4300,12.805636663293036,0.32279254682663555,0.988,0.017888543819998333,11.428,0.8439905212737875
ea_k2,86,4350,12.805636663293036,0.32279254682663555,0.984,0.016733200530681527,11.5,1.095079905760306
ea_k2,87,4400,12.805636663293036,0.32279254682663555,0.984,0.016733200530681527,11.3,1.3630113719261476
ea_k2,88,4450,12.805636663293036,0.32279254682663555,0.976,0.04335896677735759,11.48,1.233531515608742
ea_k2,89,4500,12.805636663293036,0.32279254682663555,1.0,0.0,11.388,0.8700114941769447
ea_k2,90,4550,12.805636663293036,0.32279254682663555,0.996,0.008944271909999166,11.5,1.0935264057168441
ea_k2,91,4600,12.783656273021181,0.32615385070323233,0.996,0.008944271909999166,11.388,1.038132939463921
ea_k2,92,4650,12.763554480620138,0.3467758224581012,0.992,0.010954451150103331,11.436,1.0801296218510068
ea_k2,93,4700,12.763554480620138,0.3467758224581012,0.992,0.010954451150103331,11.544,0.9684420478273338
ea_k2,94,4750,12.763554480620138,0.3467758224581012,0.992,0.010954451150103331,11.532,1.083475888056582
ea_k2,95,4800,12.763554480620138,0.3467758224581012,0.984,0.016733200530681527,11.196,0.9556568421771484
ea_k2,96,4850,12.763554480620138,0.3467758224581012,0.992,0.010954451150103331,11.436,0.9693709300365885
ea_k2,97,4900,12.763554480620138,0.3467758224581012,0.992,0.010954451150103331,11.52,1.0599056561788882
ea_k2,98,4950,12.683554480620138,0.4061580568762862,1.0,0.0,11.548,1.4550326456818767
ea_k2,99,5000,12.683554480620138,0.4061580568762862,0.992,0.010954451150103331,11.86,1.177454882362802
ea_k2,100,5050,12.683554480620138,0.4061580568762862,0.996,0.008944271909999166,11.84,1.2469963913339925
ea_k5,0,50,15.72921156930994,0.28035697085446587,0.968,0.036331804249169895,10.668,0.6891443970605865
ea_k5,1,100,15.146899796199675,0.30901014722811343,0.992,0.010954451150103331,9.584,1.2714873180649506
ea_k5,2,150,14.899437597513359,0.28249174192078336,0.992,0.010954451150103331,9.928,1.2360097086997337
ea_k5,3,200,14.745527879170707,0.26862814432778465,0.98,0.014142135623730963,10.632,1.2005498740160696
ea_k5,4,250,14.511353602502615,0.26031979508303005,0.992,0.017888543819998333,10.78,0.8353442404182839
ea_k5,5,300,14.388335027294001,0.24313433710158863,0.976,0.021908902300206663,10.688,0.7723470722414895
ea_k5,6,350,14.328610323481762,0.25617111501699413,0.984,0.016733200530681527,10.592,0.7253412989758681
ea_k5,7,400,14.200354706411924,0.4220063219879953,0.988,0.017888543819998333,10.58,0.7685050422736341
ea_k5,8,450,14.076634289365039,0.4111340562840951,0.976,0.021908902300206663,10.9,0.5067543783727967
ea_k5,9,500,14.069443830844392,0.40371970417839614,0.984,0.008944271909999166,10.748,0.7790507043832253
ea_k5,10,550,14.031165413734351,0.37240148807577855,0.952,0.03346640106136301,10.768,0.6520122698231994
ea_k5,11,600,13.941801303052793,0.3538360336481472,0.984,0.026076809620810618,10.84,0.8408329203831164
ea_k5,12,650,13.84474973253314,0.4172872024559918,0.964,0.026076809620810618,11.216,1.0447392019063901
ea_k5,13,700,13.78248478396043,0.408781861594438,0.972,0.017888543819998333,11.356,0.7556983525190458
ea_k5,14,750,13.7425596878258,0.3530009903411124,0.976,0.016733200530681527,11.508,0.8613477810965782
ea_k5,15,800,13.7425596878258,0.3530009903411124,0.972,0.04147288270665543,11.564,1.1632196697098964
ea_k5,16,850,13.68972332288342,0.29032000961780424,0.972,0.03346640106136301,11.992,1.1179982110898028
ea_k5,17,900,13.642957534243664,0.30132451917265507,0.984,0.016733200530681527,11.38,0.9681941953967705
ea_k5,18,950,13.54203149661711,0.389209239630066,0.996,0.008944271909999166,11.544,1.1742572120280972
ea_k5,19,1000,13.531694861052044,0.37673706645884836,0.98,0.028284271247461926,11.42,0.8021221852062196
ea_k5,20,1050,13.520077560447342,0.3639635309515948,0.964,0.03286335345030996,11.116,0.954714617045324
ea_k5,21,1100,13.49772414536114,0.3436003266956648,0.984,0.016733200530681527,11.219999999999999,0.8698275691193055
ea_k5,22,1150,13.427207473162666,0.276113849102104,0.992,0.010954451150103331,11.408,0.9651528376376458
ea_k5,23,1200,13.427207473162666,0.276113849102104,0.98,0.020000000000000018,11.12,0.8186574375158393
ea_k5,24,1250,13.413719990324392,0.27227753887656714,0.98,0.014142135623730963,11.54,0.7418894796396562
ea_k5,25,1300,13.383165914234025,0.26961202604691686,0.972,0.03346640106136301,11.644,0.848928736702911
ea_k5,26,1350,13.366576455104047,0.2670779021253043,0.96,0.028284271247461926,11.62,0.7928429857165918
ea_k5,27,1400,13.334606487025034,0.29710334041579745,0.964,0.05366563145999496,11.78,0.8925245094673869
ea_k5,28,1450,13.334606487025034,0.29710334041579745,0.96,0.046904157598234276,11.888,0.8516572080361913
ea_k5,29,1500,13.31766015423607,0.2655095014723926,0.964,0.029664793948382638,11.84,0.7251206796113321
ea_k5,30,1550,13.311182477161115,0.26678002755014885,0.952,0.010954451150103331,11.74,0.6619667665374147
ea_k5,31,1600,13.311182477161115,0.26678002755014885,0.964,0.03577708763999663,11.788,0.6992281458865912
ea_k5,32,1650,13.293043166116915,0.29787872012978206,0.98,0.024494897427831803,12.008,0.6418099407145386
ea_k5,33,1700,13.215940475846466,0.32668575842087433,0.98,0.014142135623730963,11.876,0.71824786807898
ea_k5,34,1750,13.215940475846466,0.32668575842087433,0.98,0.020000000000000018,12.236,0.6539724764850587
ea_k5,35,1800,13.209596250799773,0.32600931451778004,0.968,0.02280350850198278,12.232000000000001,0.8713896946831537
ea_k5,36,1850,13.180848682077624,0.273733630567792,0.984,0.021908902300206663,12.252,0.6947805408904308
ea_k5,37,1900,13.17185888722196,0.2708088496985055,0.98,0.014142135623730963,12.276,0.7835049457406124
ea_k5,38,1950,13.113516676770809,0.3731582866020223,0.988,0.0268328157299975,12.256,0.4048209480745781
ea_k5,39,2000,13.102109267533116,0.36976436814587166,0.996,0.008944271909999166,12.396,0.6889702460919486
ea_k5,40,2050,13.102109267533116,0.36976436814587166,0.972,0.04147288270665543,12.332,0.7063426930322136
ea_k5,41,2100,13.069923927194516,0.36336964236757124,0.98,0.020000000000000018,12.316,0.5265738314804487
ea_k5,42,2150,13.058005568349207,0.3437406580496455,0.988,0.017888543819998333,12.348,0.7828920742988779
ea_k5,43,2200,12.931912762645862,0.24150325725930027,0.984,0.016733200530681527,12.452,0.6506304634736986
ea_k5,44,2250,12.92894904864208,0.23956296983296757,0.984,0.021908902300206663,12.456,0.8345537729829033
ea_k5,45,2300,12.92894904864208,0.23956296983296757,0.972,0.03346640106136301,12.744,1.1131397037209656
ea_k5,46,2350,12.92894904864208,0.23956296983296757,0.968,0.017888543819998333,12.768,0.9567235755431138
ea_k5,47,2400,12.883204806989784,0.3343165793486748,0.98,0.020000000000000018,12.528,0.853065061997032
ea_k5,48,2450,12.883204806989784,0.3343165793486748,0.976,0.03286335345030995,12.612,0.9071493813038733
ea_k5,49,2500,12.883204806989784,0.3343165793486748,0.976,0.026076809620810618,12.712,1.125308846495041
ea_k5,50,2550,12.883204806989784,0.3343165793486748,0.976,0.016733200530681527,12.552,0.8177530189488758
ea_k5,51,2600,12.84929761269313,0.34449200862440177,0.964,0.043358966777357594,12.904,0.8191947265455265
ea_k5,52,2650,12.84929761269313,0.34449200862440177,0.964,0.026076809620810618,12.724,0.8371857619429515
ea_k5,53,2700,12.84929761269313,0.34449200862440177,0.976,0.021908902300206663,12.764000000000001,0.8862730956087974
ea_k5,54,2750,12.824566627891256,0.3340319838182682,0.976,0.021908902300206663,12.708,1.2199672126741765
ea_k5,55,2800,12.824566627891256,0.3340319838182682,0.976,0.032863353450309996,12.572000000000001,0.8320576903075891
ea_k5,56,2850,12.824566627891256,0.3340319838182682,0.968,0.017888543819998333,12.82,1.003294572894721
ea_k5,57,2900,12.824566627891256,0.3340319838182682,0.972,0.010954451150103331,12.532,0.9800612225774471
ea_k5,58,2950,12.824566627891256,0.3340319838182682,0.968,0.0268328157299975,12.592,0.8003249340111805
ea_k5,59,3000,12.824566627891256,0.3340319838182682,0.976,0.021908902300206663,12.86,1.0482366145102922
